前	后
拾取	丢弃,抛弃
白文	朱文
朱文	白文
精华	糟粕,粗浅
糟粕	精华,渣滓
鸠形鹄面	形销骨立,脑满肠肥
脑满肠肥	鸠形鹄面,骨瘦如柴
水性杨花	冰清玉洁
冰清玉洁	浅尝辄止,水性杨花,大公无私
一帆风顺	碰钉子,艰难曲折,碰鼻,好事多磨,碰壁,一波三折,逆水行舟,备尝艰苦
逆水行舟	一帆风顺,知难而退
跳梁小丑	正人君子,志士仁人
正人君子	鼠窃狗盗,老奸巨滑,酒色之徒,寻花问柳,投机取巧,跳梁小丑,人面兽心
虾兵蟹将	爪牙之将
爪牙之将	虾兵蟹将
济困扶危	趁火打劫,落井下石
落井下石	从井救人,治病救人,成人之美,济困扶危,扶危济困,救死扶伤,雪中送炭
树大招风	无名小卒
无名小卒	赫赫名流,英雄好汉,风云人物,英雄豪杰,如雷贯耳,超尘拔俗,树大招风
薰莸同器	泾渭分明,薰莸异器
